provincia,departamento,codigo_geo,establecimientos,empleo,exportadoras,cuantil_7
San Luis,Gobernador Dupuy,74042,274.0,1149.0,18.0,4.0
San Luis,Ayacucho,74007,165.0,759.0,12.0,2.0
San Luis,Belgrano,74014,25.0,260.0,4.0,1.0
San Luis,Juan Martín de Pueyrredón,74056,4352.0,29928.0,226.0,7.0
San Luis,General Pedernera,74035,2461.0,17591.0,145.0,7.0
San Luis,Junín,74049,702.0,3062.0,24.0,6.0
San Luis,Libertador General San Martín,74063,29.0,92.0,0.0,1.0
San Luis,Coronel Pringles,74021,263.0,1858.0,15.0,3.0
San Luis,Chacabuco,74028,341.0,2470.0,41.0,5.0
