anio,clae2,empleo,establecimientos,exportadoras,salario_promedio_anual_deflactado,meses_completos,empleo_total_geo,establecimientos_total_geo,share_empleo,densidad_estab,intensidad_export,provincia_id,provincia
2022,51,9231.0,215.0,44.0,0.0,0,1596397.0,212077.0,0.0057824,0.02329108,0.20465116,2,CABA
2022,52,38852.0,5038.0,152.0,0.0,0,1596397.0,212077.0,0.0243373,0.12967157,0.0301707,2,CABA
2022,53,16176.0,460.0,134.0,0.0,0,1596397.0,212077.0,0.01013282,0.02843719,0.29130435,2,CABA
2022,55,15488.0,1792.0,0.0,0.0,0,1596397.0,212077.0,0.00970185,0.11570248,0.0,2,CABA
2022,56,67084.0,11096.0,335.0,0.0,0,1596397.0,212077.0,0.04202213,0.16540457,0.03019106,2,CABA
2022,58,5940.0,770.0,130.0,0.0,0,1596397.0,212077.0,0.00372088,0.12962963,0.16883117,2,CABA
2022,59,7950.0,983.0,18.0,0.0,0,1596397.0,212077.0,0.00497996,0.1236478,0.01831129,2,CABA
2022,60,10926.0,454.0,33.0,0.0,0,1596397.0,212077.0,0.00684416,0.04155226,0.07268722,2,CABA
2022,61,19514.0,648.0,278.0,0.0,0,1596397.0,212077.0,0.01222378,0.03320693,0.42901235,2,CABA
2022,62,94930.0,7027.0,106.0,8810838.0,406,1596397.0,212077.0,0.05946516,0.07402296,0.01508467,2,CABA
2022,63,7382.0,579.0,1.0,0.0,0,1596397.0,212077.0,0.00462416,0.07843403,0.00172712,2,CABA
2022,64,58933.0,2449.0,1.0,0.0,0,1596397.0,212077.0,0.03691626,0.04155566,0.00040833,2,CABA
2022,65,47576.0,1352.0,0.0,0.0,0,1596397.0,212077.0,0.02980211,0.02841769,0.0,2,CABA
2022,66,11762.0,1899.0,4.0,0.0,0,1596397.0,212077.0,0.00736784,0.16145213,0.00210637,2,CABA
2022,68,22066.0,12760.0,7.0,0.0,0,1596397.0,212077.0,0.01382238,0.5782652,0.00054859,2,CABA
2022,69,26807.0,5897.0,1.0,0.0,0,1596397.0,212077.0,0.01679219,0.21997986,0.00016958,2,CABA
2022,70,25604.0,3736.0,19.0,0.0,0,1596397.0,212077.0,0.01603862,0.1459147,0.00508565,2,CABA
2022,71,12784.0,2329.0,45.0,0.0,0,1596397.0,212077.0,0.00800803,0.18218085,0.0193216,2,CABA
2022,72,4764.0,412.0,41.0,0.0,0,1596397.0,212077.0,0.00298422,0.08648195,0.09951456,2,CABA
2022,73,16114.0,2270.0,12.0,0.0,0,1596397.0,212077.0,0.01009398,0.14087129,0.00528634,2,CABA
2022,74,4059.0,731.0,5.0,0.0,0,1596397.0,212077.0,0.0025426,0.18009362,0.00683995,2,CABA
2022,75,352.0,150.0,0.0,0.0,0,1596397.0,212077.0,0.0002205,0.42613636,0.0,2,CABA
2022,77,2456.0,583.0,8.0,0.0,0,1596397.0,212077.0,0.00153846,0.23737785,0.01372213,2,CABA
2022,78,18751.0,1191.0,0.0,0.0,0,1596397.0,212077.0,0.01174583,0.06351661,0.0,2,CABA
2022,79,8203.0,1496.0,0.0,0.0,0,1596397.0,212077.0,0.00513845,0.1823723,0.0,2,CABA
2022,80,48254.0,1545.0,8.0,0.0,0,1596397.0,212077.0,0.03022682,0.03201807,0.00517799,2,CABA
2022,81,54409.0,3319.0,4.0,0.0,0,1596397.0,212077.0,0.03408237,0.06100094,0.00120518,2,CABA
2022,82,59825.0,5436.0,51.0,0.0,0,1596397.0,212077.0,0.03747501,0.09086502,0.0093819,2,CABA
2022,84,3714.0,327.0,0.0,0.0,0,1596397.0,212077.0,0.00232649,0.08804523,0.0,2,CABA
2022,85,88289.0,3026.0,8.0,0.0,0,1596397.0,212077.0,0.05530517,0.03427381,0.00264375,2,CABA
