anio,letra,empleo_mujeres,empleo_varones,empleo_otro,salario_promedio_anual_deflactado,meses_completos,ratio_fem,brecha_genero_abs,provincia_id,provincia
2022,B,191.0,1691.0,0.0,0.0,0,0.10148778,1500.0,14,Cordoba
2022,C,18664.0,92372.0,0.0,0.0,0,0.16808963,73708.0,14,Cordoba
2022,D,2037.0,8053.0,0.0,0.0,0,0.20188305,6016.0,14,Cordoba
2022,E,381.0,2501.0,0.0,0.0,0,0.13219986,2120.0,14,Cordoba
2022,F,2383.0,31418.0,0.0,53245868.28,3429,0.07050087,29035.0,14,Cordoba
2022,G,40197.0,69190.0,0.0,505717045.6,32805,0.36747511,28993.0,14,Cordoba
2022,H,2461.0,27110.0,0.0,0.0,0,0.08322343,24649.0,14,Cordoba
2022,I,11057.0,8467.0,0.0,0.0,0,0.56632862,2590.0,14,Cordoba
2022,J,6212.0,12181.0,0.0,0.0,0,0.33773718,5969.0,14,Cordoba
2022,K,6237.0,5715.0,0.0,0.0,0,0.52183735,522.0,14,Cordoba
2022,L,1415.0,2381.0,0.0,0.0,0,0.3727608,966.0,14,Cordoba
2022,M,4135.0,4433.0,0.0,0.0,0,0.48260971,298.0,14,Cordoba
2022,N,25008.0,24874.0,0.0,0.0,0,0.50134317,134.0,14,Cordoba
2022,O,1100.0,838.0,0.0,0.0,0,0.56759546,262.0,14,Cordoba
2022,P,31815.0,12247.0,0.0,0.0,0,0.72205075,19568.0,14,Cordoba
2022,Q,19932.0,6930.0,0.0,0.0,0,0.74201474,13002.0,14,Cordoba
2022,R,2195.0,3121.0,0.0,0.0,0,0.41290444,926.0,14,Cordoba
2022,S,9412.0,8166.0,0.0,0.0,0,0.53544203,1246.0,14,Cordoba
2022,U,29.0,18.0,0.0,0.0,0,0.61702128,11.0,14,Cordoba
2022,A,650.0,11500.0,0.0,0.0,0,0.05349794,10850.0,18,Corrientes
2022,B,19.0,323.0,0.0,0.0,0,0.05555556,304.0,18,Corrientes
2022,C,1072.0,10751.0,0.0,0.0,0,0.09067073,9679.0,18,Corrientes
2022,D,229.0,1562.0,0.0,0.0,0,0.12786153,1333.0,18,Corrientes
2022,F,414.0,5464.0,0.0,0.0,0,0.07043212,5050.0,18,Corrientes
2022,G,5203.0,14713.0,0.0,0.0,0,0.26124724,9510.0,18,Corrientes
2022,H,383.0,4545.0,0.0,0.0,0,0.07771916,4162.0,18,Corrientes
2022,I,1280.0,1998.0,0.0,0.0,0,0.390482,718.0,18,Corrientes
2022,J,411.0,1115.0,0.0,0.0,0,0.26933159,704.0,18,Corrientes
2022,K,896.0,1109.0,0.0,0.0,0,0.44688279,213.0,18,Corrientes
2022,L,76.0,282.0,0.0,0.0,0,0.2122905,206.0,18,Corrientes
2022,M,419.0,894.0,0.0,0.0,0,0.31911653,475.0,18,Corrientes
2022,N,1146.0,2734.0,0.0,0.0,0,0.29536082,1588.0,18,Corrientes
2022,O,74.0,99.0,0.0,0.0,0,0.42774566,25.0,18,Corrientes
