cluster,n_territorios,empleo_total_prom,establecimientos_total_prom,exportadoras_total_prom,hhi_prom,diversidad_sectorial_prom,max_share_sector_prom,intensidad_export_prom_prom,densidad_estab_prom_prom,salario_promedio_ponderado_prom
1,2,1852258.0,257501.0,12108.0,0.106192,21.0,0.193223,0.053409,0.193107,208929.04
2,22,131406.045455,20032.545455,876.681818,0.122604,19.727273,0.229097,0.048293,0.198843,55734.765909
